Производитель,Модель,Цена,Цена без скидки,Скидка,Процессор,Дискретная видеокарта,Встроенная видеокарта,Оперативная память,SSD,HDD,Экран,Операционная система,Ссылка
Acer,Nitro 5 AN515-57-548J,90999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/bc579f6f32d7ed20/156-noutbuk-acer-nitro-5-an515-57-548j-cernyj/characteristics/
Lenovo,IdeaPad Gaming 3 15IHU6,90999,0,0,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel Iris Xe Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 120 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/9f0539a37820ed20/156-noutbuk-lenovo-ideapad-gaming-3-15ihu6-cernyj/characteristics/
MSI,GF76 Katana 11UD-482XRU,90999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/10668f1719f2ed20/173-noutbuk-msi-gf76-katana-11ud-482xru-cernyj/characteristics/
ASUS,TUF Dash F15 FX516PC-HN023,92999,0,0,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/ac9a0d760ee4ed20/156-noutbuk-asus-tuf-dash-f15-fx516pc-hn023-seryj/characteristics/
HP,Victus 16-d0006ur,92999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics Xe,16 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/1686e04aa31e2ff1/161-noutbuk-hp-victus-16-d0006ur-sinij/characteristics/
HP,Victus 16-e0009ur,92999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/1ca35eb4a31e2ff1/161-noutbuk-hp-victus-16-e0009ur-serebristyj/characteristics/
Acer,Nitro 5 AN517-52-57WE,92999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 120 Гц",без ОС,https://www.dns-shop.ru/product/07bc7d59d2ff2ff2/173-noutbuk-acer-nitro-5-an517-52-57we-cernyj/characteristics/
Acer,Nitro 5 AN515-55-707X,94999,0,0,Intel Core i7-10750H 6x2.6 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,8 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/c8f3337940333332/156-noutbuk-acer-nitro-5-an515-55-707x-cernyj/characteristics/
MSI,GF63 Thin 11UD-221RU,94999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed33049fa32ff4/156-noutbuk-msi-gf63-thin-11ud-221ru-cernyj/characteristics/
GIGABYTE,G7,94999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/6808aee0a23f2eb1/173-noutbuk-gigabyte-g7-cernyj/characteristics/
ASUS,TUF Dash F15 FX516PC-HN107,96999,0,0,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/c9176efce157ed20/156-noutbuk-asus-tuf-dash-f15-fx516pc-hn107-seryj/characteristics/
MSI,GF76 Katana 11UC-479XRU,97999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/10668f1819f2ed20/173-noutbuk-msi-gf76-katana-11uc-479xru-cernyj/characteristics/
MSI,Pulse GL66 11UCK-422RU,98799,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed33069fa32ff4/156-noutbuk-msi-pulse-gl66-11uck-422ru-seryj/characteristics/
GIGABYTE,G5 KC,98999,109999,10,Intel Core i5-10500Н 6x2.5 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/f0f60800c505ed20/156-noutbuk-gigabyte-g5-kc-cernyj/characteristics/
GIGABYTE,G5,98999,109999,10,Intel Core i5-10500Н 6x2.5 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics 630,16 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/adc1b461a0b22eb1/156-noutbuk-gigabyte-g5-cernyj/characteristics/
GIGABYTE,G5 KC,99999,0,0,Intel Core i5-10500Н 6x2.5 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics 630,16 ГБ DDR4 2666 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/ec716e2a54943332/156-noutbuk-gigabyte-g5-kc-cernyj/characteristics/
GIGABYTE,G5 MD,99999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/530bbf7dc504ed20/156-noutbuk-gigabyte-g5-md-cernyj/characteristics/
MSI,GF76 Katana 11UD-695XRU,99999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/c25d8f5974e7ed20/173-noutbuk-msi-gf76-katana-11ud-695xru-cernyj/characteristics/
MSI,GF76 Katana 11UD-481XRU,102999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/0947b79519f2ed20/173-noutbuk-msi-gf76-katana-11ud-481xru-cernyj/characteristics/
Acer,Predator Triton 300 SE PT314-51s-552L,103499,114999,10,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel Iris Xe Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 14"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/c8f3337b40333332/14-noutbuk-acer-predator-triton-300-se-pt314-51s-552l-serebristyj/characteristics/
MSI,GF63 Thin 11UC-218XRU,103999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/2df386fe9fa32ff4/156-noutbuk-msi-gf63-thin-11uc-218xru-cernyj/characteristics/
GIGABYTE,G5 KD,104999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/4c89695bc503ed20/156-noutbuk-gigabyte-g5-kd-cernyj/characteristics/
HP,Pavilion Gaming 15-ec2001ur,104999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/0ae9202a8ae9d760/156-noutbuk-hp-pavilion-gaming-15-ec2001ur-cernyj/characteristics/
HP,Pavilion Gaming 15-ec2010ur,104999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/e059a01515cb2ff2/156-noutbuk-hp-pavilion-gaming-15-ec2010ur-cernyj/characteristics/
MSI,GF66 Katana 11UE-819XRU,104999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/e91dce4474e4ed20/156-noutbuk-msi-gf66-katana-11ue-819xru-cernyj/characteristics/
MSI,GF76 Katana 11UC-696XRU,106999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/580974f374e8ed20/173-noutbuk-msi-gf76-katana-11uc-696xru-cernyj/characteristics/
GIGABYTE,G5 KD,107099,118999,10,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/c3bb4a35c502ed20/156-noutbuk-gigabyte-g5-kd-cernyj/characteristics/
MSI,GF76 Katana 11UE-270XRU,107999,119999,10,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/0947b79219f2ed20/173-noutbuk-msi-gf76-katana-11ue-270xru-cernyj/characteristics/
MSI,GF76 Katana 11UD-694XRU,108999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/2712b36574e7ed20/173-noutbuk-msi-gf76-katana-11ud-694xru-cernyj/characteristics/
Acer,Nitro 5 AN515-45-R6KH,109999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/2cc553da7d7fed20/156-noutbuk-acer-nitro-5-an515-45-r6kh-cernyj/characteristics/
ASUS,TUF Gaming F15 FX506HM-HN016W,112499,124999,10,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/6653f8c55e2ced20/156-noutbuk-asus-tuf-gaming-f15-fx506hm-hn016w-cernyj/characteristics/
MSI,GF66 Katana 11UE-407XRU,112499,124999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/17b7d73019f2ed20/156-noutbuk-msi-gf66-katana-11ue-407xru-cernyj/characteristics/
MSI,GF76 Katana 11UD-072RU,114999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/f7423faba72d2ff1/173-noutbuk-msi-gf76-katana-11ud-072ru-cernyj/characteristics/
HP,VICTUS 16-e0077ur,115999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/d2170bf8c5622ff4/161-noutbuk-hp-victus-16-e0077ur-sinij/characteristics/
Dream Machines,RG3060-15RU46,116999,129999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 144 Гц",без ОС,https://www.dns-shop.ru/product/a890a93211d0ed20/156-noutbuk-dream-machines-rg3060-15ru46-cernyj/characteristics/
MSI,GF66 Katana 11UE-406RU,116999,129999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/10668f1b19f2ed20/156-noutbuk-msi-gf66-katana-11ue-406ru-cernyj/characteristics/
MSI,GF76 Katana 11UE-269XRU,119699,132999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/0947b79119f2ed20/173-noutbuk-msi-gf76-katana-11ue-269xru-cernyj/characteristics/
MSI,GL66 Pulse 11UEK-211XRU,119999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/130e60cd108eed20/156-noutbuk-msi-gl66-pulse-11uek-211xru-seryj/characteristics/
ASUS,ROG Zephyrus G14 AniMe Matrix GA401QC-K2142T,123299,136999,10,AMD Ryzen 7 5800HS 8x2.8 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"2560x1440 14"" IPS 120 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/15955a1bbf8d2ff1/14-noutbuk-asus-rog-zephyrus-g14-anime-matrix-ga401qc-k2142t-seryj/characteristics/
ASUS,ROG Zephyrus G14 GA401QC-K2136T,123299,136999,10,AMD Ryzen 7 5800HS 8x2.8 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"2560x1440 14"" IPS 120 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/0f86473fbf8d2ff1/14-noutbuk-asus-rog-zephyrus-g14-ga401qc-k2136t-seryj/characteristics/
Dell,G515-4380,123299,136999,10,Intel Core i7-10870H 8x2.2 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 2933 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 165 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/1614d61b411bed20/156-noutbuk-dell-g515-4380-seryj/characteristics/
Dell,G515-4342,124999,0,0,Intel Core i7-10870H 8x2.2 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel HD Graphics 630,16 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/eb4733223abced20/156-noutbuk-dell-g515-4342-seryj/characteristics/
ASUS,TUF Gaming A17 FX706HEB-HX103W,124999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/0e8a9556ec75ed20/173-noutbuk-asus-tuf-gaming-a17-fx706heb-hx103w-seryj/characteristics/
Dell,G15 5515,126999,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/e0e126207ccded20/156-noutbuk-dell-g15-5515-seryj/characteristics/
MSI,Pulse GL66 12UEK-289XRU,127999,0,0,Intel Core i5-12500H 8x2.5 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/3fed32f29fa32ff4/156-noutbuk-msi-pulse-gl66-12uek-289xru-seryj/characteristics/
ASUS,TUF Gaming A15 FX506QM-HN053,129599,143999,10,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/895cc797e300ed20/156-noutbuk-asus-tuf-gaming-a15-fx506qm-hn053-cernyj/characteristics/
